date,kwh,cost
2022-03-24,10.9,9.81
2022-03-25,9.1,8.19
2022-03-26,8.3,7.47
2022-03-27,9.1,8.19
2022-03-28,11.6,10.44
2022-03-29,10.3,9.27
2022-03-30,8.6,7.74
2022-03-31,9.3,8.37
2022-04-01,10.9,9.81
2022-04-02,11.2,10.08
2022-04-03,11.0,9.9
2022-04-04,11.2,10.08
2022-04-05,9.6,8.64
2022-04-06,8.7,7.83
2022-04-07,11.2,10.08
2022-04-08,8.4,7.56
2022-04-09,11.1,9.99
2022-04-10,9.0,8.1
2022-04-11,8.3,7.47
2022-04-12,8.2,7.38
2022-04-13,9.6,8.64
2022-04-14,9.2,8.28
2022-04-15,10.1,9.09
2022-04-16,7.9,7.11
2022-04-17,10.4,9.36
2022-04-18,7.6,6.84
2022-04-19,8.5,7.65
2022-04-20,7.2,6.48
2022-04-21,8.6,7.74
2022-04-22,9.3,8.37
2022-04-23,8.4,7.56
2022-04-24,9.8,8.82
2022-04-25,9.9,8.91
2022-04-26,10.2,9.18
2022-04-27,8.7,7.83
2022-04-28,7.6,6.84
2022-04-29,7.9,7.11
2022-04-30,8.7,7.83
2022-05-01,7.8,7.02
2022-05-02,8.1,7.29
2022-05-03,9.2,8.28
2022-05-04,9.7,8.73
2022-05-05,8.5,7.65
2022-05-06,6.6,5.94
2022-05-07,6.6,5.94
2022-05-08,8.8,7.92
2022-05-09,8.0,7.2
2022-05-10,6.5,5.85
2022-05-11,9.6,8.64
2022-05-12,8.2,7.38
2022-05-13,7.6,6.84
2022-05-14,6.6,5.94
2022-05-15,9.1,8.19
2022-05-16,8.2,7.38
2022-05-17,6.4,5.76
2022-05-18,7.2,6.48
2022-05-19,8.6,7.74
2022-05-20,7.6,6.84
2022-05-21,6.6,5.94
2022-05-22,8.2,7.38
2022-05-23,6.2,5.58
2022-05-24,7.6,6.84
2022-05-25,9.0,8.1
2022-05-26,7.5,6.75
2022-05-27,8.4,7.56
2022-05-28,5.5,4.95
2022-05-29,7.1,6.39
2022-05-30,6.5,5.85
2022-05-31,8.8,7.92
2022-06-01,5.9,5.31
2022-06-02,8.7,7.83
2022-06-03,8.6,7.74
2022-06-04,5.8,5.22
2022-06-05,5.9,5.31
2022-06-06,8.1,7.29
2022-06-07,5.4,4.86
2022-06-08,7.6,6.84
2022-06-09,5.3,4.77
2022-06-10,5.6,5.04
2022-06-11,7.7,6.93
2022-06-12,7.9,7.11
2022-06-13,5.1,4.59
2022-06-14,4.8,4.32
2022-06-15,7.6,6.84
2022-06-16,7.6,6.84
2022-06-17,6.0,5.4
2022-06-18,6.9,6.21
2022-06-19,7.0,6.3
2022-06-20,5.2,4.68
2022-06-21,6.2,5.58
2022-06-22,7.6,6.84
2022-06-23,4.8,4.32
2022-06-24,4.6,4.14
2022-06-25,8.0,7.2
2022-06-26,7.9,7.11
2022-06-27,5.1,4.59
2022-06-28,7.6,6.84
2022-06-29,7.5,6.75
2022-06-30,6.1,5.49
2022-07-01,5.9,5.31
2022-07-02,5.0,4.5
2022-07-03,7.2,6.48
2022-07-04,6.4,5.76
2022-07-05,7.9,7.11
2022-07-06,6.5,5.85
2022-07-07,7.6,6.84
2022-07-08,6.4,5.76
2022-07-09,4.5,4.05
2022-07-10,6.1,5.49
2022-07-11,7.5,6.75
2022-07-12,6.1,5.49
2022-07-13,4.7,4.23
2022-07-14,6.1,5.49
2022-07-15,6.7,6.03
2022-07-16,7.5,6.75
2022-07-17,8.0,7.2
2022-07-18,7.0,6.3
2022-07-19,7.1,6.39
2022-07-20,5.8,5.22
2022-07-21,4.7,4.23
2022-07-22,7.0,6.3
2022-07-23,7.8,7.02
2022-07-24,4.8,4.32
2022-07-25,8.0,7.2
2022-07-26,4.6,4.14
2022-07-27,4.6,4.14
2022-07-28,5.1,4.59
2022-07-29,4.6,4.14
2022-07-30,6.2,5.58
2022-07-31,6.5,5.85
2022-08-01,7.9,7.11
2022-08-02,5.7,5.13
2022-08-03,5.0,4.5
2022-08-04,4.7,4.23
2022-08-05,5.3,4.77
2022-08-06,6.9,6.21
2022-08-07,6.4,5.76
2022-08-08,7.4,6.66
2022-08-09,6.2,5.58
2022-08-10,8.0,7.2
2022-08-11,8.0,7.2
2022-08-12,8.0,7.2
2022-08-13,5.8,5.22
2022-08-14,5.4,4.86
2022-08-15,7.0,6.3
2022-08-16,7.9,7.11
2022-08-17,6.0,5.4
2022-08-18,8.1,7.29
2022-08-19,7.0,6.3
2022-08-20,7.0,6.3
2022-08-21,5.1,4.59
2022-08-22,6.9,6.21
2022-08-23,5.7,5.13
2022-08-24,6.6,5.94
2022-08-25,6.3,5.67
2022-08-26,7.1,6.39
2022-08-27,6.9,6.21
2022-08-28,6.2,5.58
2022-08-29,7.9,7.11
2022-08-30,7.3,6.57
2022-08-31,5.8,5.22
2022-09-01,6.6,5.94
2022-09-02,6.1,5.49
2022-09-03,5.3,4.77
2022-09-04,6.7,6.03
2022-09-05,7.9,7.11
2022-09-06,6.8,6.12
2022-09-07,6.9,6.21
2022-09-08,7.9,7.11
2022-09-09,6.4,5.76
2022-09-10,8.4,7.56
2022-09-11,7.2,6.48
2022-09-12,6.2,5.58
2022-09-13,6.7,6.03
2022-09-14,8.9,8.01
2022-09-15,7.4,6.66
2022-09-16,9.2,8.28
2022-09-17,6.7,6.03
2022-09-18,8.1,7.29
2022-09-19,9.0,8.1
2022-09-20,8.9,8.01
2022-09-21,7.3,6.57
2022-09-22,9.4,8.46
2022-09-23,6.8,6.12
2022-09-24,7.9,7.11
2022-09-25,6.5,5.85
2022-09-26,7.4,6.66
2022-09-27,8.8,7.92
2022-09-28,6.4,5.76
2022-09-29,6.7,6.03
2022-09-30,9.6,8.64
2022-10-01,9.1,8.19
2022-10-02,8.3,7.47
2022-10-03,6.9,6.21
2022-10-04,8.6,7.74
2022-10-05,7.6,6.84
2022-10-06,8.2,7.38
2022-10-07,9.6,8.64
2022-10-08,8.5,7.65
2022-10-09,10.3,9.27
2022-10-10,7.4,6.66
2022-10-11,8.0,7.2
2022-10-12,8.1,7.29
2022-10-13,9.1,8.19
2022-10-14,8.8,7.92
2022-10-15,10.6,9.54
2022-10-16,8.8,7.92
2022-10-17,8.4,7.56
2022-10-18,7.4,6.66
2022-10-19,10.6,9.54
2022-10-20,10.7,9.63
2022-10-21,8.0,7.2
2022-10-22,9.7,8.73
2022-10-23,7.7,6.93
2022-10-24,8.9,8.01
2022-10-25,8.3,7.47
2022-10-26,10.9,9.81
2022-10-27,9.2,8.28
2022-10-28,10.1,9.09
2022-10-29,8.2,7.38
2022-10-30,9.9,8.91
2022-10-31,10.5,9.45
2022-11-01,8.6,7.74
2022-11-02,10.1,9.09
2022-11-03,10.6,9.54
2022-11-04,10.0,9.0
2022-11-05,9.3,8.37
2022-11-06,10.8,9.72
2022-11-07,10.4,9.36
2022-11-08,11.0,9.9
2022-11-09,9.2,8.28
2022-11-10,9.4,8.46
2022-11-11,10.1,9.09
2022-11-12,11.7,10.53
2022-11-13,11.7,10.53
2022-11-14,10.1,9.09
2022-11-15,10.9,9.81
2022-11-16,10.5,9.45
2022-11-17,10.5,9.45
2022-11-18,11.7,10.53
2022-11-19,10.6,9.54
2022-11-20,10.1,9.09
2022-11-21,12.2,10.98
2022-11-22,9.2,8.28
2022-11-23,9.0,8.1
2022-11-24,9.4,8.46
2022-11-25,9.1,8.19
2022-11-26,10.7,9.63
2022-11-27,10.6,9.54
2022-11-28,9.8,8.82
2022-11-29,10.9,9.81
2022-11-30,12.5,11.25
2022-12-01,12.3,11.07
2022-12-02,11.0,9.9
2022-12-03,10.3,9.27
2022-12-04,9.8,8.82
2022-12-05,12.9,11.61
2022-12-06,9.7,8.73
2022-12-07,9.5,8.55
2022-12-08,12.0,10.8
2022-12-09,12.3,11.07
2022-12-10,10.6,9.54
2022-12-11,9.6,8.64
2022-12-12,11.4,10.26
2022-12-13,11.5,10.35
2022-12-14,10.9,9.81
2022-12-15,11.8,10.62
2022-12-16,11.3,10.17
2022-12-17,10.0,9.0
2022-12-18,11.3,10.17
2022-12-19,12.1,10.89
2022-12-20,12.6,11.34
2022-12-21,11.3,10.17
2022-12-22,10.1,9.09
2022-12-23,11.9,10.71
2022-12-24,10.5,9.45
2022-12-25,12.9,11.61
2022-12-26,10.5,9.45
2022-12-27,10.6,9.54
2022-12-28,13.3,11.97
2022-12-29,12.7,11.43
2022-12-30,11.7,10.53
2022-12-31,12.7,11.43
2023-01-01,13.4,12.06
2023-01-02,11.1,9.99
2023-01-03,11.5,10.35
2023-01-04,13.2,11.88
2023-01-05,13.4,12.06
2023-01-06,11.2,10.08
2023-01-07,12.7,11.43
2023-01-08,10.9,9.81
2023-01-09,12.2,10.98
2023-01-10,12.2,10.98
2023-01-11,10.5,9.45
2023-01-12,12.4,11.16
2023-01-13,10.9,9.81
2023-01-14,12.4,11.16
2023-01-15,11.9,10.71
2023-01-16,11.4,10.26
2023-01-17,13.0,11.7
2023-01-18,12.4,11.16
2023-01-19,10.2,9.18
2023-01-20,12.9,11.61
2023-01-21,13.2,11.88
2023-01-22,11.9,10.71
2023-01-23,12.1,10.89
2023-01-24,11.6,10.44
2023-01-25,11.1,9.99
2023-01-26,10.7,9.63
2023-01-27,12.0,10.8
2023-01-28,12.1,10.89
2023-01-29,12.4,11.16
2023-01-30,10.3,9.27
2023-01-31,11.0,9.9
2023-02-01,11.7,10.53
2023-02-02,12.2,10.98
2023-02-03,12.5,11.25
2023-02-04,12.5,11.25
2023-02-05,11.8,10.62
2023-02-06,11.1,9.99
2023-02-07,11.7,10.53
2023-02-08,11.9,10.71
2023-02-09,10.6,9.54
2023-02-10,12.7,11.43
2023-02-11,12.6,11.34
2023-02-12,10.8,9.72
2023-02-13,10.4,9.36
2023-02-14,10.3,9.27
2023-02-15,12.8,11.52
2023-02-16,11.3,10.17
2023-02-17,10.8,9.72
2023-02-18,11.0,9.9
2023-02-19,11.8,10.62
2023-02-20,9.5,8.55
2023-02-21,10.8,9.72
2023-02-22,12.8,11.52
2023-02-23,10.3,9.27
2023-02-24,10.6,9.54
2023-02-25,11.5,10.35
2023-02-26,9.4,8.46
2023-02-27,10.9,9.81
2023-02-28,11.7,10.53
2023-03-01,9.8,8.82
2023-03-02,9.4,8.46
2023-03-03,10.6,9.54
2023-03-04,10.3,9.27
2023-03-05,10.6,9.54
2023-03-06,12.4,11.16
2023-03-07,10.8,9.72
2023-03-08,11.3,10.17
2023-03-09,9.2,8.28
2023-03-10,10.3,9.27
2023-03-11,9.1,8.19
2023-03-12,11.9,10.71
2023-03-13,11.4,10.26
2023-03-14,10.8,9.72
2023-03-15,11.6,10.44
2023-03-16,11.8,10.62
2023-03-17,11.6,10.44
2023-03-18,8.8,7.92
2023-03-19,9.6,8.64
2023-03-20,9.8,8.82
2023-03-21,11.7,10.53
2023-03-22,11.7,10.53
2023-03-23,11.5,10.35
2023-03-24,9.9,8.91
2023-03-25,8.4,7.56
2023-03-26,10.8,9.72
2023-03-27,11.1,9.99
2023-03-28,10.9,9.81
2023-03-29,8.4,7.56
2023-03-30,8.4,7.56
2023-03-31,10.3,9.27
2023-04-01,10.2,9.18
2023-04-02,10.0,9.0
2023-04-03,9.0,8.1
2023-04-04,11.3,10.17
2023-04-05,10.9,9.81
2023-04-06,9.4,8.46
2023-04-07,9.3,8.37
2023-04-08,10.7,9.63
2023-04-09,8.7,7.83
2023-04-10,7.7,6.93
2023-04-11,10.6,9.54
2023-04-12,8.8,7.92
2023-04-13,9.9,8.91
2023-04-14,7.5,6.75
2023-04-15,8.8,7.92
2023-04-16,7.3,6.57
2023-04-17,10.0,9.0
2023-04-18,9.3,8.37
2023-04-19,8.7,7.83
2023-04-20,7.3,6.57
2023-04-21,10.2,9.18
2023-04-22,8.7,7.83
2023-04-23,8.7,7.83
2023-04-24,7.3,6.57
2023-04-25,8.9,8.01
2023-04-26,9.4,8.46
2023-04-27,6.8,6.12
2023-04-28,7.4,6.66
2023-04-29,7.0,6.3
2023-04-30,9.9,8.91
2023-05-01,9.3,8.37
2023-05-02,8.2,7.38
2023-05-03,7.2,6.48
2023-05-04,8.4,7.56
2023-05-05,9.3,8.37
2023-05-06,9.0,8.1
2023-05-07,7.2,6.48
2023-05-08,7.4,6.66
2023-05-09,7.5,6.75
2023-05-10,8.0,7.2
2023-05-11,9.1,8.19
2023-05-12,8.7,7.83
2023-05-13,6.1,5.49
2023-05-14,6.3,5.67
2023-05-15,8.4,7.56
2023-05-16,8.6,7.74
2023-05-17,6.3,5.67
2023-05-18,9.3,8.37
2023-05-19,6.0,5.4
2023-05-20,8.5,7.65
2023-05-21,6.2,5.58
2023-05-22,9.0,8.1
2023-05-23,6.7,6.03
2023-05-24,7.5,6.75
2023-05-25,7.3,6.57
2023-05-26,6.0,5.4
2023-05-27,7.7,6.93
2023-05-28,8.2,7.38
2023-05-29,7.2,6.48
2023-05-30,8.3,7.47
2023-05-31,8.8,7.92
2023-06-01,5.8,5.22
2023-06-02,8.6,7.74
2023-06-03,8.6,7.74
2023-06-04,8.0,7.2
2023-06-05,7.3,6.57
2023-06-06,8.4,7.56
2023-06-07,8.5,7.65
2023-06-08,8.0,7.2
2023-06-09,6.7,6.03
2023-06-10,7.4,6.66
2023-06-11,5.5,4.95
2023-06-12,7.5,6.75
2023-06-13,6.8,6.12
2023-06-14,8.3,7.47
2023-06-15,6.9,6.21
2023-06-16,7.5,6.75
2023-06-17,8.2,7.38
2023-06-18,8.0,7.2
2023-06-19,7.2,6.48
2023-06-20,6.9,6.21
2023-06-21,6.7,6.03
2023-06-22,7.5,6.75
2023-06-23,8.2,7.38
2023-06-24,6.0,5.4
2023-06-25,6.7,6.03
2023-06-26,7.9,7.11
2023-06-27,5.3,4.77
2023-06-28,6.7,6.03
2023-06-29,6.8,6.12
2023-06-30,7.3,6.57
2023-07-01,8.1,7.29
2023-07-02,5.6,5.04
2023-07-03,6.6,5.94
2023-07-04,7.2,6.48
2023-07-05,4.6,4.14
2023-07-06,4.8,4.32
2023-07-07,6.2,5.58
2023-07-08,5.3,4.77
2023-07-09,5.1,4.59
2023-07-10,4.8,4.32
2023-07-11,7.3,6.57
2023-07-12,6.2,5.58
2023-07-13,6.8,6.12
2023-07-14,7.0,6.3
2023-07-15,7.3,6.57
2023-07-16,4.4,3.96
2023-07-17,6.3,5.67
2023-07-18,6.0,5.4
2023-07-19,5.3,4.77
2023-07-20,7.0,6.3
2023-07-21,6.7,6.03
2023-07-22,6.5,5.85
2023-07-23,6.6,5.94
2023-07-24,7.3,6.57
2023-07-25,4.7,4.23
2023-07-26,5.1,4.59
2023-07-27,5.2,4.68
2023-07-28,7.0,6.3
2023-07-29,7.2,6.48
2023-07-30,4.6,4.14
2023-07-31,5.2,4.68
2023-08-01,8.0,7.2
2023-08-02,8.1,7.29
2023-08-03,6.3,5.67
2023-08-04,7.2,6.48
2023-08-05,7.6,6.84
2023-08-06,5.8,5.22
2023-08-07,4.6,4.14
2023-08-08,5.6,5.04
2023-08-09,5.6,5.04
2023-08-10,4.7,4.23
2023-08-11,6.3,5.67
2023-08-12,7.6,6.84
2023-08-13,6.0,5.4
2023-08-14,6.6,5.94
2023-08-15,5.0,4.5
2023-08-16,7.2,6.48
2023-08-17,5.7,5.13
2023-08-18,5.1,4.59
2023-08-19,6.5,5.85
2023-08-20,5.9,5.31
2023-08-21,6.1,5.49
2023-08-22,5.9,5.31
2023-08-23,7.6,6.84
2023-08-24,5.1,4.59
2023-08-25,7.6,6.84
2023-08-26,6.5,5.85
2023-08-27,6.0,5.4
2023-08-28,6.3,5.67
2023-08-29,8.0,7.2
2023-08-30,7.7,6.93
2023-08-31,6.9,6.21
2023-09-01,6.4,5.76
2023-09-02,8.1,7.29
2023-09-03,7.8,7.02
2023-09-04,8.0,7.2
2023-09-05,7.6,6.84
2023-09-06,7.5,6.75
2023-09-07,7.8,7.02
2023-09-08,8.7,7.83
2023-09-09,7.0,6.3
2023-09-10,9.2,8.28
2023-09-11,8.4,7.56
2023-09-12,7.7,6.93
2023-09-13,8.2,7.38
2023-09-14,8.9,8.01
2023-09-15,8.5,7.65
2023-09-16,9.3,8.37
2023-09-17,6.3,5.67
2023-09-18,6.8,6.12
2023-09-19,6.5,5.85
2023-09-20,6.1,5.49
2023-09-21,6.1,5.49
2023-09-22,8.3,7.47
2023-09-23,8.2,7.38
2023-09-24,7.1,6.39
2023-09-25,9.4,8.46
2023-09-26,7.6,6.84
2023-09-27,8.6,7.74
2023-09-28,7.7,6.93
2023-09-29,8.4,7.56
2023-09-30,7.3,6.57
2023-10-01,8.2,7.38
2023-10-02,6.6,5.94
2023-10-03,9.9,8.91
2023-10-04,6.7,6.03
2023-10-05,7.7,6.93
2023-10-06,8.4,7.56
2023-10-07,9.4,8.46
2023-10-08,8.7,7.83
2023-10-09,10.0,9.0
2023-10-10,8.1,7.29
2023-10-11,7.7,6.93
2023-10-12,9.0,8.1
2023-10-13,10.7,9.63
2023-10-14,9.4,8.46
2023-10-15,7.3,6.57
2023-10-16,8.5,7.65
2023-10-17,8.7,7.83
2023-10-18,9.5,8.55
2023-10-19,10.0,9.0
2023-10-20,8.5,7.65
2023-10-21,9.5,8.55
2023-10-22,9.9,8.91
2023-10-23,7.7,6.93
2023-10-24,8.6,7.74
2023-10-25,8.9,8.01
2023-10-26,8.0,7.2
2023-10-27,9.5,8.55
2023-10-28,10.8,9.72
2023-10-29,10.6,9.54
2023-10-30,8.6,7.74
2023-10-31,10.3,9.27
2023-11-01,8.6,7.74
2023-11-02,9.2,8.28
2023-11-03,9.0,8.1
2023-11-04,11.0,9.9
2023-11-05,10.0,9.0
2023-11-06,10.5,9.45
2023-11-07,9.5,8.55
2023-11-08,10.7,9.63
2023-11-09,10.8,9.72
2023-11-10,10.8,9.72
2023-11-11,11.2,10.08
2023-11-12,9.2,8.28
2023-11-13,9.3,8.37
2023-11-14,9.6,8.64
2023-11-15,10.9,9.81
2023-11-16,10.9,9.81
2023-11-17,11.3,10.17
2023-11-18,10.9,9.81
2023-11-19,12.0,10.8
2023-11-20,9.4,8.46
2023-11-21,12.0,10.8
2023-11-22,10.9,9.81
2023-11-23,9.8,8.82
2023-11-24,11.3,10.17
2023-11-25,12.4,11.16
2023-11-26,11.0,9.9
2023-11-27,10.9,9.81
2023-11-28,12.1,10.89
2023-11-29,11.5,10.35
2023-11-30,9.7,8.73
2023-12-01,9.8,8.82
2023-12-02,11.6,10.44
2023-12-03,11.4,10.26
2023-12-04,12.7,11.43
2023-12-05,9.8,8.82
2023-12-06,11.8,10.62
2023-12-07,10.1,9.09
2023-12-08,11.5,10.35
2023-12-09,12.2,10.98
2023-12-10,10.4,9.36
2023-12-11,10.0,9.0
2023-12-12,10.5,9.45
2023-12-13,12.5,11.25
2023-12-14,12.0,10.8
2023-12-15,10.3,9.27
2023-12-16,11.6,10.44
2023-12-17,11.1,9.99
2023-12-18,10.5,9.45
2023-12-19,12.5,11.25
2023-12-20,11.0,9.9
2023-12-21,13.2,11.88
2023-12-22,13.0,11.7
2023-12-23,11.0,9.9
2023-12-24,11.6,10.44
2023-12-25,12.7,11.43
2023-12-26,10.2,9.18
2023-12-27,10.9,9.81
2023-12-28,10.8,9.72
2023-12-29,12.7,11.43
2023-12-30,13.0,11.7
2023-12-31,12.6,11.34
2024-01-01,13.4,12.06
2024-01-02,11.8,10.62
2024-01-03,11.9,10.71
2024-01-04,10.1,9.09
2024-01-05,11.5,10.35
2024-01-06,11.1,9.99
2024-01-07,10.5,9.45
2024-01-08,13.3,11.97
2024-01-09,11.7,10.53
2024-01-10,12.2,10.98
2024-01-11,12.9,11.61
2024-01-12,12.8,11.52
2024-01-13,11.7,10.53
2024-01-14,12.6,11.34
2024-01-15,12.0,10.8
2024-01-16,11.6,10.44
2024-01-17,12.7,11.43
2024-01-18,13.0,11.7
2024-01-19,11.2,10.08
2024-01-20,12.7,11.43
2024-01-21,10.1,9.09
2024-01-22,10.9,9.81
2024-01-23,12.5,11.25
2024-01-24,11.8,10.62
2024-01-25,12.1,10.89
2024-01-26,10.1,9.09
2024-01-27,11.7,10.53
2024-01-28,10.0,9.0
2024-01-29,12.5,11.25
2024-01-30,11.0,9.9
2024-01-31,11.6,10.44
2024-02-01,11.6,10.44
2024-02-02,13.0,11.7
2024-02-03,12.8,11.52
2024-02-04,12.1,10.89
2024-02-05,10.7,9.63
2024-02-06,11.3,10.17
2024-02-07,11.4,10.26
2024-02-08,13.0,11.7
2024-02-09,12.8,11.52
2024-02-10,12.1,10.89
2024-02-11,11.3,10.17
2024-02-12,10.5,9.45
2024-02-13,13.2,11.88
2024-02-14,10.3,9.27
2024-02-15,12.8,11.52
2024-02-16,10.2,9.18
2024-02-17,9.9,8.91
2024-02-18,10.1,9.09
2024-02-19,10.0,9.0
2024-02-20,10.6,9.54
2024-02-21,9.5,8.55
2024-02-22,10.5,9.45
2024-02-23,12.7,11.43
2024-02-24,9.9,8.91
2024-02-25,12.9,11.61
2024-02-26,9.5,8.55
2024-02-27,11.7,10.53
2024-02-28,9.5,8.55
2024-02-29,12.5,11.25
2024-03-01,12.6,11.34
2024-03-02,11.8,10.62
2024-03-03,10.4,9.36
2024-03-04,10.7,9.63
2024-03-05,9.3,8.37
2024-03-06,11.2,10.08
2024-03-07,9.6,8.64
2024-03-08,10.0,9.0
2024-03-09,9.5,8.55
2024-03-10,8.8,7.92
2024-03-11,11.8,10.62
2024-03-12,9.2,8.28
2024-03-13,12.0,10.8
2024-03-14,8.8,7.92
2024-03-15,10.6,9.54
2024-03-16,10.1,9.09
2024-03-17,10.0,9.0
2024-03-18,11.7,10.53
2024-03-19,10.3,9.27
2024-03-20,10.7,9.63
2024-03-21,11.0,9.9
2024-03-22,11.3,10.17
2024-03-23,10.5,9.45
2024-03-24,10.6,9.54
2024-03-25,11.7,10.53
2024-03-26,9.2,8.28
2024-03-27,11.1,9.99
2024-03-28,8.4,7.56
2024-03-29,10.8,9.72
2024-03-30,8.8,7.92
2024-03-31,9.3,8.37
2024-04-01,9.2,8.28
2024-04-02,9.1,8.19
2024-04-03,9.6,8.64
2024-04-04,9.0,8.1
2024-04-05,10.6,9.54
2024-04-06,9.8,8.82
2024-04-07,8.3,7.47
2024-04-08,7.8,7.02
2024-04-09,8.5,7.65
2024-04-10,8.0,7.2
2024-04-11,10.2,9.18
2024-04-12,8.0,7.2
2024-04-13,7.9,7.11
2024-04-14,9.3,8.37
2024-04-15,8.6,7.74
2024-04-16,9.6,8.64
2024-04-17,8.7,7.83
2024-04-18,9.4,8.46
2024-04-19,9.8,8.82
2024-04-20,7.2,6.48
2024-04-21,10.3,9.27
2024-04-22,7.7,6.93
2024-04-23,7.8,7.02
2024-04-24,7.8,7.02
2024-04-25,9.5,8.55
2024-04-26,9.1,8.19
2024-04-27,8.3,7.47
2024-04-28,7.2,6.48
2024-04-29,9.4,8.46
2024-04-30,9.2,8.28
2024-05-01,8.9,8.01
2024-05-02,7.3,6.57
2024-05-03,8.2,7.38
2024-05-04,6.9,6.21
2024-05-05,8.7,7.83
2024-05-06,7.9,7.11
2024-05-07,6.8,6.12
2024-05-08,8.6,7.74
2024-05-09,8.9,8.01
2024-05-10,9.1,8.19
2024-05-11,7.3,6.57
2024-05-12,7.7,6.93
2024-05-13,7.0,6.3
2024-05-14,8.2,7.38
2024-05-15,6.5,5.85
2024-05-16,6.8,6.12
2024-05-17,8.9,8.01
2024-05-18,6.6,5.94
2024-05-19,7.7,6.93
2024-05-20,7.3,6.57
2024-05-21,7.9,7.11
2024-05-22,5.6,5.04
2024-05-23,5.8,5.22
2024-05-24,7.5,6.75
2024-05-25,5.8,5.22
2024-05-26,7.4,6.66
2024-05-27,7.7,6.93
2024-05-28,7.3,6.57
2024-05-29,5.8,5.22
2024-05-30,7.5,6.75
2024-05-31,8.3,7.47
2024-06-01,5.4,4.86
2024-06-02,5.7,5.13
2024-06-03,7.6,6.84
2024-06-04,7.9,7.11
2024-06-05,5.5,4.95
2024-06-06,8.1,7.29
2024-06-07,8.1,7.29
2024-06-08,7.8,7.02
2024-06-09,7.8,7.02
2024-06-10,5.1,4.59
2024-06-11,7.1,6.39
2024-06-12,6.6,5.94
2024-06-13,7.4,6.66
2024-06-14,5.1,4.59
2024-06-15,6.6,5.94
2024-06-16,5.8,5.22
2024-06-17,7.3,6.57
2024-06-18,8.2,7.38
2024-06-19,4.8,4.32
2024-06-20,5.8,5.22
2024-06-21,5.9,5.31
2024-06-22,7.9,7.11
2024-06-23,6.9,6.21
2024-06-24,7.6,6.84
2024-06-25,6.0,5.4
2024-06-26,6.5,5.85
2024-06-27,8.1,7.29
2024-06-28,5.1,4.59
2024-06-29,6.6,5.94
2024-06-30,5.2,4.68
2024-07-01,5.6,6.44
2024-07-02,5.5,6.32
2024-07-03,6.8,7.82
2024-07-04,6.7,7.7
2024-07-05,7.2,8.28
2024-07-06,5.5,6.32
2024-07-07,7.0,8.05
2024-07-08,7.5,8.62
2024-07-09,6.5,7.48
2024-07-10,6.5,7.48
2024-07-11,7.2,8.28
2024-07-12,6.0,6.9
2024-07-13,7.1,8.16
2024-07-14,5.3,6.1
2024-07-15,5.9,6.78
2024-07-16,7.7,8.85
2024-07-17,5.8,6.67
2024-07-18,6.1,7.01
2024-07-19,4.9,5.64
2024-07-20,4.4,5.06
